month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2024-12-01,B DIVISION,F,2,1372,2076,0.66088635
2024-12-01,B DIVISION,G,1,4866,6290,0.7736089
2024-12-01,B DIVISION,G,2,2181,2560,0.85195315
2024-12-01,B DIVISION,JZ,1,5265,6251,0.84226525
2024-12-01,B DIVISION,JZ,2,2242,2432,0.921875
2024-12-01,B DIVISION,L,1,10281,11450,0.8979039
2024-12-01,B DIVISION,L,2,3113,3353,0.92842233
2024-12-01,B DIVISION,M,1,5228,6132,0.8525767
2024-12-01,B DIVISION,M,2,2415,2490,0.9698795
2024-12-01,B DIVISION,N,1,7599,9929,0.7653339
2024-12-01,B DIVISION,N,2,1709,2330,0.7334764
2024-12-01,B DIVISION,Q,1,4980,6877,0.724153
2024-12-01,B DIVISION,Q,2,2282,2880,0.79236114
2024-12-01,B DIVISION,R,1,4503,6358,0.7082416
2024-12-01,B DIVISION,R,2,1870,2154,0.86815226
2024-12-01,B DIVISION,S Fkln,1,4887,4934,0.9904743
2024-12-01,B DIVISION,S Fkln,2,2080,2098,0.9914204
2024-12-01,B DIVISION,S Rock,1,3355,3528,0.95096374
2024-12-01,B DIVISION,S Rock,2,1415,1541,0.9182349
